Time, Delta, Delat Prev, Data Id, Data Type, Data Count, Ip Address, Data
2019-05-08 13:22:53.244470,2.687693,2019-05-08 13:22:53.244470,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.246463,2.689686,2019-05-08 13:22:53.246463,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.248458,2.691681,2019-05-08 13:22:53.248458,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.250453,2.693676,2019-05-08 13:22:53.250453,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.255441,2.698664,2019-05-08 13:22:53.255441,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.258439,2.701662,2019-05-08 13:22:53.258439,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.260427,2.70365,2019-05-08 13:22:53.260427,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.263419,2.706642,2019-05-08 13:22:53.263419,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.267409,2.710632,2019-05-08 13:22:53.267409,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.269404,2.712627,2019-05-08 13:22:53.269404,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.271398,2.714621,2019-05-08 13:22:53.271398,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.276385,2.719608,2019-05-08 13:22:53.276385,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.278379,2.721602,2019-05-08 13:22:53.278379,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.280373,2.723596,2019-05-08 13:22:53.280373,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.283366,2.726589,2019-05-08 13:22:53.283366,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.287356,2.730579,2019-05-08 13:22:53.287356,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.289350,2.732573,2019-05-08 13:22:53.289350,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.292342,2.735565,2019-05-08 13:22:53.292342,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.294336,2.737559,2019-05-08 13:22:53.294336,0,b,0,('0.0.0.0', 11000),()
